"avg","weightedAvg"
5.66666666666667,5.75
5.33333333333333,5.5
8.33333333333333,8.75
14.6666666666667,14.75
8.66666666666667,9
15,15
11.6666666666667,11.5
5.66666666666667,5.75
17.6666666666667,18
14.6666666666667,14.75
9,9
11.3333333333333,11.5
14,14
10.3333333333333,10.5
15.3333333333333,15.5
14,14
13.6666666666667,13.75
9.33333333333333,9.5
5.33333333333333,5.25
9.33333333333333,9.5
14,14.25
14,14.25
15.3333333333333,15.5
12.6666666666667,12.5
9,8.75
7.66666666666667,7.75
11.6666666666667,11.5
15.3333333333333,15.25
11,11
11,11
10.6666666666667,11
16.6666666666667,16.75
16.3333333333333,16.25
10,10.5
13.6666666666667,14
7,6.75
16.3333333333333,16.75
15.3333333333333,15.25
11.6666666666667,11.5
13.3333333333333,13.25
9.33333333333333,9.75
12,12
18.3333333333333,18.25
9,9.5
9.66666666666667,9.5
7.33333333333333,7
11.3333333333333,11.25
19.3333333333333,19.5
14.6666666666667,14.5
7,7
12.6666666666667,12.75
12.3333333333333,12.5
10.6666666666667,10.5
9.66666666666667,10
12,12.25
9,9.25
14.6666666666667,14.75
14.6666666666667,14.75
9.33333333333333,9.25
15.6666666666667,15.75
10.6666666666667,10.75
9.66666666666667,10
9,9
9.33333333333333,9.25
10,10
15.3333333333333,15.25
12.6666666666667,12.5
6.66666666666667,6.5
8.33333333333333,8.25
16,16
14.3333333333333,14.5
10,10
6.33333333333333,6
12.6666666666667,13
11.3333333333333,11.25
9.33333333333333,9.5
10.6666666666667,10.5
11,11
8.66666666666667,9
5,5
11.3333333333333,11.5
10.6666666666667,10.75
6.33333333333333,6.25
15,15
9.66666666666667,9.75
8,8
7,6.75
13.6666666666667,13.75
10.3333333333333,10.25
7,7
7.33333333333333,7.5
17,17.25
6.33333333333333,6.25
10.3333333333333,10.25
12.6666666666667,13
9,9.25
13.6666666666667,14
9,9.25
13,13.25
8,8
6.33333333333333,6
16.6666666666667,16.75
12.3333333333333,12.75
6.33333333333333,6.25
17.3333333333333,17.5
10.6666666666667,10.75
7.66666666666667,7.75
17.3333333333333,17.5
12,12.25
15,15.25
18.6666666666667,18.75
9,9.25
12,12.25
18.6666666666667,18.75
9,9
15.3333333333333,15.5
12.6666666666667,13
13.3333333333333,13.25
8,8
13.3333333333333,13.25
15.3333333333333,15.25
15,15
13,13
12.6666666666667,12.75
7.66666666666667,7.75
12.6666666666667,12.5
9.33333333333333,9.75
8,8.25
3.66666666666667,2.75
18,18
4,3
2.66666666666667,2
11.6666666666667,11.75
11.3333333333333,11.25
3,2.25
3.66666666666667,2.75
3.33333333333333,2.5
1.33333333333333,1
12.6666666666667,12.5
15.6666666666667,15.5
5.33333333333333,4
9,9
10.3333333333333,10.5
13.6666666666667,13.5
1.66666666666667,1.25
10,10.25
4.33333333333333,3.25
10.6666666666667,10.75
4.33333333333333,3.25
9,9.25
3.66666666666667,2.75
13,13.25
10,10
1.66666666666667,1.25
11.3333333333333,11.5
9,8.75
13.6666666666667,13.5
9,9.25
15.6666666666667,15.5
11.3333333333333,11.5
4.33333333333333,3.25
7,7
2.33333333333333,1.75
10,10
6.66666666666667,6.75
11.6666666666667,11.75
10,10
15,15.25
4.33333333333333,3.25
14,14
3.66666666666667,2.75
14.6666666666667,15
11.3333333333333,11
5,3.75
10,9.75
9.33333333333333,9.25
12.3333333333333,12
5.66666666666667,5.75
9,9
10.3333333333333,10.5
8.33333333333333,8.25
12.3333333333333,12.25
16.6666666666667,16.75
8.66666666666667,8.5
12.3333333333333,12.25
11.6666666666667,11.5
11.3333333333333,11.25
15,15
8,8.25
9,9.25
12,12.25
8.33333333333333,8.5
7.66666666666667,7.75
9,9.25
13.6666666666667,13.75
14.6666666666667,14.75
16,16
9.33333333333333,9.5
18,18
9.33333333333333,9.5
16,16
9.33333333333333,9.5
9.33333333333333,9.5
6.33333333333333,6.25
10.3333333333333,10.5
9.33333333333333,9.25
7,7
12,12.25
9.33333333333333,9.5
7,7
8,8
12.3333333333333,12.5
13,13.25
7,7.25
9.33333333333333,9.5
14.6666666666667,14.75
5.33333333333333,5
6.66666666666667,7
7.33333333333333,7.5
9.66666666666667,9.75
6,6
3.66666666666667,2.75
16.3333333333333,16.5
12.6666666666667,12.75
13.3333333333333,13.5
8,7.75
15.3333333333333,15.25
11.6666666666667,11.75
9,9
11.3333333333333,11.5
13.3333333333333,13.5
11,11
9.66666666666667,9.5
13.3333333333333,13.25
7.33333333333333,7
10,10
13.3333333333333,13.25
12.3333333333333,12.25
11.6666666666667,11.5
4.66666666666667,3.5
12,12
11,11.25
2,1.5
12.3333333333333,12.25
2.33333333333333,1.75
18,18
12.3333333333333,12.5
7.33333333333333,7.5
4.33333333333333,4.5
14.3333333333333,14.5
7.33333333333333,7.5
9,9.25
7.66666666666667,7.75
8.33333333333333,8.25
10.6666666666667,11
8,8
13,13
11,11
14.3333333333333,14.25
6.33333333333333,4.75
17.6666666666667,17.75
8,8
12.3333333333333,12.25
9.33333333333333,9.25
6.33333333333333,4.75
17,17
9.33333333333333,9.5
11,11
9.66666666666667,9.75
2,1.5
9,9
14.3333333333333,14.25
11,11
14.3333333333333,14.25
10,10
12,12
9.33333333333333,9.25
9,9
8.33333333333333,8.25
10.3333333333333,10.25
8,8
10,10
12,12
9,9.25
10,10.25
11,11
18.3333333333333,18.5
12.3333333333333,12.25
14.3333333333333,14.25
14.3333333333333,14.5
11.3333333333333,11.25
15,15
12.3333333333333,12.5
18,18
13.6666666666667,13.75
12.3333333333333,12
6.33333333333333,4.75
8.66666666666667,8.5
13.6666666666667,13.75
15.6666666666667,15.75
11,11
10.6666666666667,10.5
13.6666666666667,13.75
17.3333333333333,17.5
14,13.75
12.6666666666667,12.5
17.6666666666667,17.75
8.33333333333333,8.25
13,12.75
10.6666666666667,10.5
6,4.5
13,13
11.6666666666667,11.5
11.3333333333333,11.25
13.6666666666667,13.5
11.6666666666667,11.5
5.33333333333333,4
9.33333333333333,9.25
10.6666666666667,10.5
11,11
13,13
9.66666666666667,9.5
11,11
13.6666666666667,14
15.3333333333333,15.25
10.6666666666667,10.75
15,15.25
10.3333333333333,10.25
9.33333333333333,9.25
14,14
8.33333333333333,8.25
13.3333333333333,13.5
2.33333333333333,1.75
5.33333333333333,4
6.33333333333333,4.75
15.3333333333333,15.25
13.3333333333333,13.25
5,3.75
16,16.25
9.66666666666667,9.75
11.3333333333333,11.25
6.66666666666667,5
15.3333333333333,15.25
5.66666666666667,4.25
10.3333333333333,10.25
13.3333333333333,13.5
15.6666666666667,15.75
9.66666666666667,9.5
14.3333333333333,14.5
12.3333333333333,12.5
7.66666666666667,7.75
13,13
7.66666666666667,7.75
8,8
11.6666666666667,11.5
9.33333333333333,9.25
12.6666666666667,12.75
11.6666666666667,11.5
10,10
16.6666666666667,16.5
13,13
12.3333333333333,12.25
10.6666666666667,10.5
15.3333333333333,15.25
11.6666666666667,11.75
10,10
13,13
4.33333333333333,3.25
10.3333333333333,10.25
12.3333333333333,12
7.66666666666667,8
12.6666666666667,12.5
11.6666666666667,11.5
5.33333333333333,5.25
18.6666666666667,18.75
8.66666666666667,9
14.6666666666667,14.75
9,9.25
15,15
10,10
14.3333333333333,14.25
6.66666666666667,6.75
10.6666666666667,10.5
3.66666666666667,2.75
5.33333333333333,5.25
9.66666666666667,9.75
5.66666666666667,5.75
4,3
8,8
3.66666666666667,2.75
9,9
15.3333333333333,15.5
8.33333333333333,8
11,10.75
8.66666666666667,8.75
